Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Presentation,Chrome 65.0.3325.181,,2018-04-11 09:51:06,2018-04-11 09:53:24,2m - 18.355s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 65.0.3325.181,,2018-04-11 09:51:07,2018-04-11 09:51:38,31.183s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-11 09:51:07,2018-04-11 09:51:33,26.307s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:51:33,2018-04-11 09:51:33,0.359s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:51:33,2018-04-11 09:51:34,0.220s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:51:34,2018-04-11 09:51:34,0.212s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-11 09:51:34,2018-04-11 09:51:38,3.868s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-11 09:51:38,2018-04-11 09:51:38,0.000s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 65.0.3325.181,,2018-04-11 09:51:38,2018-04-11 09:51:59,21.078s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-11 09:51:38,2018-04-11 09:51:43,4.834s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:51:43,2018-04-11 09:51:43,0.183s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:51:43,2018-04-11 09:51:43,0.251s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:51:43,2018-04-11 09:51:43,0.113s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-11 09:51:43,2018-04-11 09:51:44,1.008s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-11 09:51:44,2018-04-11 09:51:47,3.036s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:51:47,2018-04-11 09:51:48,0.183s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-11 09:51:48,2018-04-11 09:51:50,2.005s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:51:50,2018-04-11 09:51:50,0.166s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-11 09:51:50,2018-04-11 09:51:52,2.101s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-11 09:51:52,2018-04-11 09:51:52,0.136s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:51:52,2018-04-11 09:51:52,0.169s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:51:52,2018-04-11 09:51:52,0.250s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:51:52,2018-04-11 09:51:53,0.164s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), ""Nial1265"")",Chrome 65.0.3325.181,,2018-04-11 09:51:53,2018-04-11 09:51:53,0.436s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-11 09:51:53,2018-04-11 09:51:59,5.885s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-11 09:51:59,2018-04-11 09:51:59,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-143_Login_ValidLogin,Chrome 65.0.3325.181,User is able to log into the application when valid credentials are passed and be directed to Home Page,2018-04-11 09:51:59,2018-04-11 09:52:05,5.875s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-11 09:51:59,2018-04-11 09:52:04,4.654s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:04,2018-04-11 09:52:04,0.198s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:04,2018-04-11 09:52:04,0.216s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:04,2018-04-11 09:52:04,0.106s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:04,2018-04-11 09:52:05,0.547s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-11 09:52:05,2018-04-11 09:52:05,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-145_Login_InvalidLogin,Chrome 65.0.3325.181,Verify that user is able to log into the application when invalid username is passed (Username not existing in the system),2018-04-11 09:52:05,2018-04-11 09:52:10,5.428s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-11 09:52:05,2018-04-11 09:52:10,4.805s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:10,2018-04-11 09:52:10,0.152s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:10,2018-04-11 09:52:10,0.204s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:10,2018-04-11 09:52:10,0.095s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-11 09:52:10,2018-04-11 09:52:10,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-26,Chrome 65.0.3325.181,,2018-04-11 09:52:10,2018-04-11 09:52:38,27.470s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-11 09:52:10,2018-04-11 09:52:15,4.899s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:15,2018-04-11 09:52:15,0.208s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:15,2018-04-11 09:52:16,0.228s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:16,2018-04-11 09:52:16,0.163s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-11 09:52:16,2018-04-11 09:52:16,0.437s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-11 09:52:16,2018-04-11 09:52:19,3.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:19,2018-04-11 09:52:19,0.198s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:19,2018-04-11 09:52:20,0.627s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-11 09:52:20,2018-04-11 09:52:25,5.069s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-11 09:52:25,2018-04-11 09:52:25,0.139s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-11 09:52:25,2018-04-11 09:52:30,5.004s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-11 09:52:30,2018-04-11 09:52:30,0.120s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-11 09:52:30,2018-04-11 09:52:31,0.072s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:31,2018-04-11 09:52:31,0.173s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-11 09:52:31,2018-04-11 09:52:34,3.003s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.143s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.118s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.076s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.125s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.097s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.137s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:34,0.074s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-11 09:52:34,2018-04-11 09:52:35,0.227s,PASSED
click,Chrome 65.0.3325.181,,2018-04-11 09:52:35,2018-04-11 09:52:35,0.153s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-11 09:52:35,2018-04-11 09:52:35,0.188s,PASSED
