Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMOKE_TESTCASES,Chrome 65.0.3325.181,,2018-03-29 12:49:53,2018-03-29 12:53:13,3m - 20.267s,FAILED
,,,,,,
Test Cases/TC-1 Creating a new Department,Chrome 65.0.3325.181,,2018-03-29 12:49:53,2018-03-29 12:50:40,47.039s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-03-29 12:49:53,2018-03-29 12:50:28,34.767s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:28,2018-03-29 12:50:29,1.132s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:29,2018-03-29 12:50:29,0.237s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:29,2018-03-29 12:50:30,0.353s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 12:50:30,2018-03-29 12:50:31,0.822s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:50:31,2018-03-29 12:50:34,3.024s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:34,2018-03-29 12:50:34,0.187s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:50:34,2018-03-29 12:50:36,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:36,2018-03-29 12:50:36,0.181s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-03-29 12:50:36,2018-03-29 12:50:38,2.259s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-03-29 12:50:38,2018-03-29 12:50:38,0.077s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:38,2018-03-29 12:50:39,0.187s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:39,0.186s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:39,0.097s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), ""Law1"")",Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:39,0.212s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:39,0.084s,PASSED
Statement - var = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Create_a_New_Dept/verifyDisplayedOrNot/td_Law1)),Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:39,0.094s,PASSED
Statement - If (var1 == var),Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:39,0.000s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-03-29 12:50:39,2018-03-29 12:50:40,0.937s,PASSED
,,,,,,
Test Cases/TC-09,Chrome 65.0.3325.181,,2018-03-29 12:50:40,2018-03-29 12:50:54,14.297s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-03-29 12:50:40,2018-03-29 12:50:45,4.512s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:45,2018-03-29 12:50:45,0.162s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:45,2018-03-29 12:50:45,0.146s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:45,2018-03-29 12:50:45,0.096s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 12:50:45,2018-03-29 12:50:46,0.553s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:50:46,2018-03-29 12:50:49,3.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:49,2018-03-29 12:50:49,0.192s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:50:49,2018-03-29 12:50:51,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:51,2018-03-29 12:50:51,0.111s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-03-29 12:50:51,2018-03-29 12:50:53,2.024s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-03-29 12:50:53,2018-03-29 12:50:53,0.079s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:53,2018-03-29 12:50:53,0.144s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:53,2018-03-29 12:50:54,0.119s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:54,2018-03-29 12:50:54,0.099s,PASSED
focus,Chrome 65.0.3325.181,,2018-03-29 12:50:54,2018-03-29 12:50:54,0.122s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-03-29 12:50:54,2018-03-29 12:50:54,0.042s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-03-29 12:50:54,2018-03-29 12:50:54,0.683s,PASSED
,,,,,,
Test Cases/TC-18_Create_New_Role,Chrome 65.0.3325.181,,2018-03-29 12:50:54,2018-03-29 12:51:05,10.933s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-03-29 12:50:55,2018-03-29 12:50:59,4.046s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:59,2018-03-29 12:50:59,0.177s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:50:59,2018-03-29 12:50:59,0.161s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:59,2018-03-29 12:50:59,0.104s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:50:59,2018-03-29 12:51:00,0.621s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:00,2018-03-29 12:51:03,3.187s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 12:51:03,2018-03-29 12:51:03,0.039s,PASSED
focus,Chrome 65.0.3325.181,,2018-03-29 12:51:03,2018-03-29 12:51:03,0.071s,PASSED
focus,Chrome 65.0.3325.181,,2018-03-29 12:51:03,2018-03-29 12:51:03,0.132s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:51:03,2018-03-29 12:51:03,0.144s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:03,2018-03-29 12:51:04,0.149s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:04,0.135s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:04,0.092s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:04,0.064s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:04,0.177s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:04,0.070s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:04,0.056s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:04,2018-03-29 12:51:05,0.489s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-03-29 12:51:05,2018-03-29 12:51:05,0.768s,PASSED
,,,,,,
Test Cases/TC-26,Chrome 65.0.3325.181,,2018-03-29 12:51:05,2018-03-29 12:51:35,29.764s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-03-29 12:51:05,2018-03-29 12:51:09,4.008s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:51:10,2018-03-29 12:51:10,0.176s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:51:10,2018-03-29 12:51:10,0.148s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:10,2018-03-29 12:51:10,0.100s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 12:51:10,2018-03-29 12:51:11,0.545s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:51:11,2018-03-29 12:51:14,3.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:14,2018-03-29 12:51:14,0.162s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 12:51:14,2018-03-29 12:51:17,3.297s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-03-29 12:51:17,2018-03-29 12:51:22,5.060s,PASSED
focus,Chrome 65.0.3325.181,,2018-03-29 12:51:22,2018-03-29 12:51:22,0.137s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:51:22,2018-03-29 12:51:27,5.002s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-29 12:51:27,2018-03-29 12:51:27,0.067s,PASSED
focus,Chrome 65.0.3325.181,,2018-03-29 12:51:27,2018-03-29 12:51:27,0.070s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 12:51:27,2018-03-29 12:51:28,0.132s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-29 12:51:28,2018-03-29 12:51:31,3.002s,PASSED
focus,Chrome 65.0.3325.181,,2018-03-29 12:51:31,2018-03-29 12:51:31,0.118s,PASSED
