Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 65.0.3325.181,,2018-04-28 12:30:08,2018-04-28 12:35:27,5m - 19.475s,FAILED
,,,,,,
Test Cases/Smoke/TC-09,Chrome 65.0.3325.181,,2018-04-28 12:30:08,2018-04-28 12:30:28,19.563s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:30:08,2018-04-28 12:30:17,8.158s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:17,2018-04-28 12:30:18,0.880s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:18,2018-04-28 12:30:18,0.330s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:18,2018-04-28 12:30:18,0.161s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-28 12:30:18,2018-04-28 12:30:20,1.419s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:30:20,2018-04-28 12:30:23,3.027s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-04-28 12:30:23,2018-04-28 12:30:23,0.074s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:23,2018-04-28 12:30:23,0.093s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:30:23,2018-04-28 12:30:25,2.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:25,2018-04-28 12:30:25,0.163s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-28 12:30:25,2018-04-28 12:30:27,2.097s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-28 12:30:27,2018-04-28 12:30:27,0.094s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:27,2018-04-28 12:30:27,0.268s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:27,2018-04-28 12:30:28,0.222s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:28,2018-04-28 12:30:28,0.087s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-28 12:30:28,2018-04-28 12:30:28,0.091s,PASSED
Statement - Try,Chrome 65.0.3325.181,,2018-04-28 12:30:28,2018-04-28 12:30:28,0.077s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-28 12:30:28,2018-04-28 12:30:28,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-1 Creating a new Department,Chrome 65.0.3325.181,,2018-04-28 12:30:28,2018-04-28 12:31:00,32.190s,FAILED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:30:28,2018-04-28 12:30:44,15.895s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:44,2018-04-28 12:30:44,0.244s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:44,2018-04-28 12:30:44,0.264s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:44,2018-04-28 12:30:45,0.137s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-28 12:30:45,2018-04-28 12:30:46,1.545s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:30:46,2018-04-28 12:30:49,3.004s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-04-28 12:30:49,2018-04-28 12:30:49,0.065s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:49,2018-04-28 12:30:49,0.107s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:30:49,2018-04-28 12:30:51,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:51,2018-04-28 12:30:51,0.113s,PASSED
waitForAlert,Chrome 65.0.3325.181,,2018-04-28 12:30:51,2018-04-28 12:30:53,2.035s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-28 12:30:53,2018-04-28 12:30:53,0.069s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:53,2018-04-28 12:30:54,0.129s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:30:54,2018-04-28 12:30:54,0.148s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:30:54,2018-04-28 12:30:54,0.085s,PASSED
"Statement - var1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.setText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Search/Search_Inspect), ""Nial1265"")",Chrome 65.0.3325.181,,2018-04-28 12:30:54,2018-04-28 12:30:54,0.203s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-28 12:30:54,2018-04-28 12:31:00,5.946s,FAILED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:00,2018-04-28 12:31:00,0.003s,PASSED
,,,,,,
Test Cases/Smoke/TC-123,Chrome 65.0.3325.181,,2018-04-28 12:31:00,2018-04-28 12:31:29,28.700s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:00,2018-04-28 12:31:06,6.367s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:07,2018-04-28 12:31:07,0.223s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:07,2018-04-28 12:31:07,0.296s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:07,2018-04-28 12:31:07,0.123s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:31:07,2018-04-28 12:31:10,3.003s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-28 12:31:10,2018-04-28 12:31:10,0.059s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:31:10,2018-04-28 12:31:13,3.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:13,2018-04-28 12:31:13,0.137s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:31:13,2018-04-28 12:31:28,15.003s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-28 12:31:28,2018-04-28 12:31:28,0.096s,PASSED
uploadFile,Chrome 65.0.3325.181,,2018-04-28 12:31:28,2018-04-28 12:31:29,0.113s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:29,2018-04-28 12:31:29,0.121s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:29,2018-04-28 12:31:29,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-143_Login_ValidLogin,Chrome 65.0.3325.181,User is able to log into the application when valid credentials are passed and be directed to Home Page,2018-04-28 12:31:29,2018-04-28 12:31:38,9.404s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:29,2018-04-28 12:31:36,7.175s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:36,2018-04-28 12:31:36,0.191s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:36,2018-04-28 12:31:36,0.216s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:36,2018-04-28 12:31:37,0.146s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:37,2018-04-28 12:31:38,1.546s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:38,2018-04-28 12:31:38,0.000s,PASSED
,,,,,,
Test Cases/Smoke/TC-145_Login_InvalidLogin,Chrome 65.0.3325.181,Verify that user is able to log into the application when invalid username is passed (Username not existing in the system),2018-04-28 12:31:38,2018-04-28 12:31:45,6.832s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:38,2018-04-28 12:31:44,6.240s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:44,2018-04-28 12:31:45,0.167s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:45,2018-04-28 12:31:45,0.189s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:45,2018-04-28 12:31:45,0.118s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:45,2018-04-28 12:31:45,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-164,Chrome 65.0.3325.181,,2018-04-28 12:31:45,2018-04-28 12:32:04,18.942s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:31:45,2018-04-28 12:31:51,6.383s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:51,2018-04-28 12:31:52,0.286s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:31:52,2018-04-28 12:31:52,0.315s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:52,2018-04-28 12:31:52,0.099s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:31:52,2018-04-28 12:31:55,3.003s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-04-28 12:31:55,2018-04-28 12:31:55,0.077s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:55,2018-04-28 12:31:55,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:31:55,2018-04-28 12:31:58,3.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:58,2018-04-28 12:31:58,0.075s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:31:58,2018-04-28 12:32:00,1.511s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-28 12:32:00,2018-04-28 12:32:00,0.065s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-28 12:32:00,2018-04-28 12:32:03,3.002s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:32:03,2018-04-28 12:32:03,0.295s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:32:03,2018-04-28 12:32:03,0.161s,PASSED
switchToFrame,Chrome 65.0.3325.181,,2018-04-28 12:32:03,2018-04-28 12:32:04,0.071s,PASSED
focus,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:04,0.075s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:04,0.161s,PASSED
switchToDefaultContent,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:04,0.025s,PASSED
click,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:04,0.088s,PASSED
Start listener action : AfterTestCaseCloseBrowser,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:04,0.001s,PASSED
,,,,,,
Test Cases/Smoke/TC-18_Create_New_Role,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:15,10.771s,PASSED
Start listener action : BeforeTestCaseOpenBrowser,Chrome 65.0.3325.181,,2018-04-28 12:32:04,2018-04-28 12:32:10,6.172s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:32:10,2018-04-28 12:32:11,0.326s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-28 12:32:11,2018-04-28 12:32:11,0.334s,PASSED
